pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
METALS | JSL.NS/VEDL.NS,102,58.8,1.25,,42,33.3,-0.99,,19,26.3,-1.3,,8,50,1.7
METALS | JSL.NS/WELCORP.NS,102,45.1,0.25,,47,44.7,0.18,,15,20,-1.94,,4,0,-4
METALS | JSWSTEEL.NS/JINDALSTEL.NS,80,47.5,-0.56,,45,60,0.24,,13,53.8,0.14,,3,33.3,-1.62
METALS | JSWSTEEL.NS/JSL.NS,91,47.3,-0.22,,40,50,0.14,,12,66.7,1.86,,,,
METALS | JSWSTEEL.NS/LLOYDSME.NS,23,56.5,0.31,,14,50,-0.13,,2,100,3.92,,,,
METALS | JSWSTEEL.NS/NATIONALUM.NS,93,53.8,0.24,,37,51.4,0.44,,15,60,1.16,,4,75,2.33
METALS | JSWSTEEL.NS/NMDC.NS,79,50.6,-0.36,,42,40.5,-0.66,,7,57.1,0.89,,1,100,6.13
METALS | JSWSTEEL.NS/SAIL.NS,85,60,0.25,,50,58,0.37,,24,54.2,0.73,,5,20,-2.6
METALS | JSWSTEEL.NS/TATASTEEL.NS,81,64.2,0.28,,47,53.2,-0.05,,18,44.4,-0.58,,5,20,-2.19
METALS | JSWSTEEL.NS/VEDL.NS,84,56,0.14,,53,58.5,0.5,,24,58.3,0.85,,6,50,0.85
METALS | JSWSTEEL.NS/WELCORP.NS,93,50.5,0.29,,46,47.8,0.47,,19,63.2,2.06,,7,57.1,2.43
METALS | LLOYDSME.NS/NATIONALUM.NS,27,44.4,-0.56,,13,46.2,-0.31,,4,50,-0.48,,,,
METALS | LLOYDSME.NS/NMDC.NS,21,28.6,-1.47,,10,30,-1.41,,2,0,-4,,1,0,-4
METALS | LLOYDSME.NS/SAIL.NS,26,53.8,0.6,,14,35.7,-1,,2,0,-4,,1,0,-4
METALS | LLOYDSME.NS/TATASTEEL.NS,26,46.2,-0.42,,13,53.8,0.16,,3,33.3,-1.83,,1,100,3.7
METALS | LLOYDSME.NS/VEDL.NS,27,55.6,0.53,,13,46.2,-0.38,,4,75,2.63,,1,100,8
METALS | LLOYDSME.NS/WELCORP.NS,23,56.5,0.19,,9,55.6,0.63,,4,50,0.11,,,,
METALS | NATIONALUM.NS/SAIL.NS,86,50,-0.33,,32,40.6,-0.75,,15,60,0.73,,3,66.7,2.38
METALS | NATIONALUM.NS/TATASTEEL.NS,79,57,0.37,,43,60.5,0.68,,20,60,1.17,,3,66.7,1.82
METALS | NATIONALUM.NS/VEDL.NS,90,61.1,0.72,,44,54.5,0.07,,23,60.9,1.65,,10,50,0.27
